region_code,Interest over time,year
AL,86,2015
AK,86,2015
AZ,71,2015
AR,96,2015
CA,71,2015
CO,67,2015
CT,50,2015
DE,50,2015
DC,60,2015
FL,65,2015
GA,78,2015
HI,80,2015
ID,86,2015
IL,68,2015
IN,72,2015
IA,92,2015
KS,68,2015
KY,79,2015
LA,82,2015
ME,62,2015
MD,50,2015
MA,49,2015
MI,69,2015
MN,68,2015
MS,85,2015
MO,77,2015
MT,81,2015
NE,89,2015
NV,81,2015
NH,58,2015
NJ,45,2015
NM,77,2015
NY,59,2015
NC,61,2015
ND,100,2015
OH,62,2015
OK,89,2015
OR,59,2015
PA,69,2015
RI,51,2015
SC,74,2015
SD,92,2015
TN,80,2015
TX,80,2015
UT,81,2015
VT,60,2015
VA,38,2015
WA,73,2015
WV,80,2015
WI,71,2015
WY,80,2015
AL,83,2016
AK,88,2016
AZ,80,2016
AR,91,2016
CA,71,2016
CO,71,2016
CT,58,2016
DE,63,2016
DC,66,2016
FL,68,2016
GA,75,2016
HI,69,2016
ID,98,2016
IL,71,2016
IN,76,2016
IA,100,2016
KS,82,2016
KY,84,2016
LA,76,2016
ME,78,2016
MD,53,2016
MA,50,2016
MI,82,2016
MN,70,2016
MS,85,2016
MO,76,2016
MT,81,2016
NE,99,2016
NV,89,2016
NH,74,2016
NJ,50,2016
NM,75,2016
NY,59,2016
NC,64,2016
ND,97,2016
OH,79,2016
OK,98,2016
OR,79,2016
PA,64,2016
RI,54,2016
SC,76,2016
SD,90,2016
TN,76,2016
TX,84,2016
UT,93,2016
VT,61,2016
VA,59,2016
WA,82,2016
WV,91,2016
WI,73,2016
WY,78,2016
AL,74,2017
AK,92,2017
AZ,90,2017
AR,89,2017
CA,74,2017
CO,69,2017
CT,57,2017
DE,60,2017
DC,51,2017
FL,68,2017
GA,70,2017
HI,74,2017
ID,98,2017
IL,71,2017
IN,72,2017
IA,100,2017
KS,81,2017
KY,79,2017
LA,75,2017
ME,68,2017
MD,50,2017
MA,46,2017
MI,81,2017
MN,69,2017
MS,77,2017
MO,75,2017
MT,76,2017
NE,99,2017
NV,85,2017
NH,63,2017
NJ,47,2017
NM,73,2017
NY,66,2017
NC,65,2017
ND,91,2017
OH,75,2017
OK,91,2017
OR,80,2017
PA,62,2017
RI,51,2017
SC,71,2017
SD,91,2017
TN,68,2017
TX,80,2017
UT,88,2017
VT,52,2017
VA,61,2017
WA,96,2017
WV,83,2017
WI,72,2017
WY,89,2017
AL,54,2018
AK,81,2018
AZ,81,2018
AR,73,2018
CA,65,2018
CO,51,2018
CT,41,2018
DE,39,2018
DC,28,2018
FL,66,2018
GA,53,2018
HI,53,2018
ID,100,2018
IL,52,2018
IN,64,2018
IA,77,2018
KS,70,2018
KY,61,2018
LA,63,2018
ME,47,2018
MD,35,2018
MA,29,2018
MI,53,2018
MN,52,2018
MS,64,2018
MO,61,2018
MT,62,2018
NE,84,2018
NV,64,2018
NH,41,2018
NJ,33,2018
NM,60,2018
NY,44,2018
NC,51,2018
ND,76,2018
OH,58,2018
OK,70,2018
OR,67,2018
PA,44,2018
RI,42,2018
SC,47,2018
SD,82,2018
TN,54,2018
TX,72,2018
UT,69,2018
VT,32,2018
VA,45,2018
WA,89,2018
WV,61,2018
WI,51,2018
WY,71,2018
AL,69,2019
AK,87,2019
AZ,89,2019
AR,82,2019
CA,70,2019
CO,65,2019
CT,48,2019
DE,51,2019
DC,34,2019
FL,66,2019
GA,68,2019
HI,71,2019
ID,95,2019
IL,67,2019
IN,83,2019
IA,81,2019
KS,79,2019
KY,86,2019
LA,76,2019
ME,63,2019
MD,45,2019
MA,43,2019
MI,71,2019
MN,69,2019
MS,75,2019
MO,82,2019
MT,74,2019
NE,90,2019
NV,74,2019
NH,54,2019
NJ,48,2019
NM,77,2019
NY,52,2019
NC,66,2019
ND,100,2019
OH,84,2019
OK,96,2019
OR,76,2019
PA,56,2019
RI,47,2019
SC,62,2019
SD,95,2019
TN,73,2019
TX,90,2019
UT,85,2019
VT,43,2019
VA,63,2019
WA,89,2019
WV,93,2019
WI,76,2019
WY,85,2019
AL,74,2020
AK,100,2020
AZ,86,2020
AR,75,2020
CA,69,2020
CO,64,2020
CT,51,2020
DE,56,2020
DC,33,2020
FL,65,2020
GA,66,2020
HI,73,2020
ID,93,2020
IL,76,2020
IN,86,2020
IA,86,2020
KS,77,2020
KY,78,2020
LA,62,2020
ME,64,2020
MD,53,2020
MA,49,2020
MI,69,2020
MN,83,2020
MS,72,2020
MO,81,2020
MT,80,2020
NE,87,2020
NV,71,2020
NH,61,2020
NJ,47,2020
NM,74,2020
NY,50,2020
NC,67,2020
ND,98,2020
OH,77,2020
OK,83,2020
OR,73,2020
PA,62,2020
RI,51,2020
SC,61,2020
SD,92,2020
TN,74,2020
TX,71,2020
UT,78,2020
VT,51,2020
VA,62,2020
WA,91,2020
WV,80,2020
WI,78,2020
WY,80,2020
AL,78,2021
AK,93,2021
AZ,86,2021
AR,76,2021
CA,71,2021
CO,68,2021
CT,48,2021
DE,59,2021
DC,41,2021
FL,63,2021
GA,64,2021
HI,73,2021
ID,91,2021
IL,72,2021
IN,80,2021
IA,94,2021
KS,84,2021
KY,85,2021
LA,65,2021
ME,58,2021
MD,54,2021
MA,50,2021
MI,72,2021
MN,73,2021
MS,66,2021
MO,77,2021
MT,76,2021
NE,86,2021
NV,76,2021
NH,56,2021
NJ,48,2021
NM,71,2021
NY,52,2021
NC,65,2021
ND,100,2021
OH,73,2021
OK,93,2021
OR,68,2021
PA,59,2021
RI,52,2021
SC,69,2021
SD,85,2021
TN,74,2021
TX,84,2021
UT,84,2021
VT,45,2021
VA,61,2021
WA,81,2021
WV,76,2021
WI,70,2021
WY,72,2021
AL,81,2022
AK,83,2022
AZ,86,2022
AR,81,2022
CA,66,2022
CO,69,2022
CT,52,2022
DE,52,2022
DC,33,2022
FL,60,2022
GA,68,2022
HI,68,2022
ID,79,2022
IL,69,2022
IN,81,2022
IA,100,2022
KS,89,2022
KY,82,2022
LA,80,2022
ME,67,2022
MD,52,2022
MA,49,2022
MI,72,2022
MN,65,2022
MS,69,2022
MO,81,2022
MT,76,2022
NE,85,2022
NV,72,2022
NH,61,2022
NJ,46,2022
NM,69,2022
NY,47,2022
NC,66,2022
ND,96,2022
OH,75,2022
OK,95,2022
OR,75,2022
PA,62,2022
RI,57,2022
SC,68,2022
SD,92,2022
TN,77,2022
TX,80,2022
UT,89,2022
VT,49,2022
VA,61,2022
WA,79,2022
WV,76,2022
WI,76,2022
WY,88,2022
AL,72,2023
AK,69,2023
AZ,80,2023
AR,76,2023
CA,62,2023
CO,63,2023
CT,50,2023
DE,54,2023
DC,29,2023
FL,59,2023
GA,59,2023
HI,61,2023
ID,75,2023
IL,68,2023
IN,70,2023
IA,100,2023
KS,78,2023
KY,69,2023
LA,68,2023
ME,58,2023
MD,48,2023
MA,47,2023
MI,71,2023
MN,67,2023
MS,65,2023
MO,75,2023
MT,71,2023
NE,76,2023
NV,74,2023
NH,53,2023
NJ,45,2023
NM,61,2023
NY,45,2023
NC,61,2023
ND,89,2023
OH,69,2023
OK,92,2023
OR,63,2023
PA,56,2023
RI,51,2023
SC,61,2023
SD,83,2023
TN,72,2023
TX,78,2023
UT,80,2023
VT,46,2023
VA,54,2023
WA,71,2023
WV,68,2023
WI,67,2023
WY,64,2023
AL,83,2024
AK,80,2024
AZ,86,2024
AR,87,2024
CA,68,2024
CO,61,2024
CT,52,2024
DE,59,2024
DC,35,2024
FL,61,2024
GA,71,2024
HI,67,2024
ID,82,2024
IL,66,2024
IN,92,2024
IA,100,2024
KS,96,2024
KY,86,2024
LA,74,2024
ME,61,2024
MD,55,2024
MA,50,2024
MI,77,2024
MN,75,2024
MS,72,2024
MO,90,2024
MT,86,2024
NE,90,2024
NV,84,2024
NH,62,2024
NJ,51,2024
NM,68,2024
NY,49,2024
NC,68,2024
ND,98,2024
OH,78,2024
OK,96,2024
OR,69,2024
PA,60,2024
RI,52,2024
SC,73,2024
SD,93,2024
TN,93,2024
TX,83,2024
UT,88,2024
VT,53,2024
VA,57,2024
WA,80,2024
WV,80,2024
WI,68,2024
WY,85,2024
AL,81,2025
AK,74,2025
AZ,80,2025
AR,82,2025
CA,62,2025
CO,66,2025
CT,46,2025
DE,53,2025
DC,31,2025
FL,60,2025
GA,66,2025
HI,58,2025
ID,81,2025
IL,66,2025
IN,83,2025
IA,100,2025
KS,76,2025
KY,84,2025
LA,84,2025
ME,60,2025
MD,48,2025
MA,44,2025
MI,74,2025
MN,71,2025
MS,75,2025
MO,82,2025
MT,80,2025
NE,81,2025
NV,71,2025
NH,58,2025
NJ,44,2025
NM,67,2025
NY,41,2025
NC,64,2025
ND,90,2025
OH,73,2025
OK,90,2025
OR,63,2025
PA,56,2025
RI,50,2025
SC,74,2025
SD,94,2025
TN,78,2025
TX,78,2025
UT,78,2025
VT,47,2025
VA,54,2025
WA,67,2025
WV,80,2025
WI,69,2025
WY,78,2025
